27-05- 2024 13:00:53 - __main__ - INFO - Element 146 gescraped.
27-05- 2024 13:00:53 - __main__ - INFO - Element 147 gescraped.
27-05- 2024 13:00:53 - __main__ - INFO - Element 148 gescraped.
27-05- 2024 13:00:53 - __main__ - INFO - Element 149 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 150 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 151 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 152 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 153 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 154 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 155 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 156 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 157 gescraped.
27-05- 2024 13:00:54 - __main__ - INFO - Element 158 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 159 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 160 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 161 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 162 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 163 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 164 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 165 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 166 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 167 gescraped.
27-05- 2024 13:00:55 - __main__ - INFO - Element 168 gescraped.
27-05- 2024 13:00:56 - __main__ - INFO - Element 169 gescraped.
27-05- 2024 13:00:56 - __main__ - INFO - Element 170 gescraped.
27-05- 2024 13:00:56 - __main__ - INFO - Element 171 gescraped.
27-05- 2024 13:00:56 - __main__ - INFO - Element 172 gescraped.
27-05- 2024 13:00:56 - __main__ - INFO - Element 173 gescraped.
27-05- 2024 13:00:56 - __main__ - INFO - Element 174 gescraped.
27-05- 2024 13:00:56 - __main__ - INFO - Element 175 gescraped.
27-05- 2024 13:00:56 - __main__ - INFO - Element 176 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 177 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 178 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 179 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 180 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 181 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 182 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 183 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 184 gescraped.
27-05- 2024 13:00:57 - __main__ - INFO - Element 185 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 186 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 187 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 188 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 189 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 190 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 191 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 192 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 193 gescraped.
27-05- 2024 13:00:58 - __main__ - INFO - Element 194 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 195 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 196 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 197 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 198 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 199 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 200 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 201 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 202 gescraped.
27-05- 2024 13:00:59 - __main__ - INFO - Element 203 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 204 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 205 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 206 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 207 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 208 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 209 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 210 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 211 gescraped.
27-05- 2024 13:01:00 - __main__ - INFO - Element 212 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 213 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 214 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 215 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 216 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 217 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 218 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 219 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 220 gescraped.
27-05- 2024 13:01:01 - __main__ - INFO - Element 221 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 222 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 223 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 224 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 225 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 226 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 227 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 228 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 229 gescraped.
27-05- 2024 13:01:02 - __main__ - INFO - Element 230 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 231 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 232 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 233 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 234 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 235 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 236 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 237 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 238 gescraped.
27-05- 2024 13:01:03 - __main__ - INFO - Element 239 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 240 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 241 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 242 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 243 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 244 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 245 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 246 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 247 gescraped.
27-05- 2024 13:01:04 - __main__ - INFO - Element 248 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 249 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 250 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 251 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 252 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 253 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 254 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 255 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 256 gescraped.
27-05- 2024 13:01:05 - __main__ - INFO - Element 257 gescraped.
27-05- 2024 13:01:06 - __main__ - INFO - Element 258 gescraped.
27-05- 2024 13:01:06 - __main__ - INFO - Element 259 gescraped.
27-05- 2024 13:01:06 - __main__ - INFO - Element 260 gescraped.
27-05- 2024 13:01:06 - __main__ - INFO - Element 261 gescraped.
